DEPARTAMENTO,PROVINCIA,DISTRITO,Temp_Media
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,-0.8872115395285867
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,-0.0001636039127003063
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,-0.09374719316309149
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,1.1770300614206415
HUANCAVELICA,HUANCAVELICA,ASCENSION,-0.5656027793884277
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,-0.32066524028778076
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,0.33735811710357666
HUANCAVELICA,HUANCAVELICA,VILCA,1.0124799410502117
JUNIN,CHUPACA,CHONGOS BAJO,0.28154420852661133
JUNIN,HUANCAYO,CHONGOS ALTO,-0.6161967982416567
JUNIN,HUANCAYO,CHICCHE,0.2690490782260895
JUNIN,CHUPACA,YANACANCHA,0.008988399505615235
APURIMAC,GRAU,VIRUNDO,1.1873652935028076
APURIMAC,ANTABAMBA,OROPESA,0.5786885970678085
LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,0.4600943724314372
LIMA,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,0.5630844831466675
MOQUEGUA,MARISCAL NIETO,CARUMAS,-3.2874041207229037
MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.5703142065750925
MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,-1.9712894439697266
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,0.6147050327724881
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-0.7935993075370789
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,-1.293733172946506
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,-1.3153236389160157
TACNA,TACNA,PALCA,-2.182932439840065
TACNA,CANDARAVE,CANDARAVE,-4.202588288680367
TACNA,CANDARAVE,CAIRANI,-0.04420733451843262
TACNA,CANDARAVE,CAMILACA,-2.060214042663574
TACNA,TARATA,TARUCACHI,0.8508812785148621
TACNA,TARATA,TICACO,-4.309867858886719
JUNIN,YAULI,SUITUCANCHA,-0.37796136311122347
AREQUIPA,CASTILLA,VIRACO,-0.2028719425201416
AREQUIPA,CAYLLOMA,CHIVAY,1.1418217250279017
AREQUIPA,CAYLLOMA,CAYLLOMA,-2.4725345043425864
PUNO,CHUCUITO,POMATA,0.19505926278921273
PUNO,PUNO,PICHACANI,-2.603247625177557
PUNO,PUNO,SAN ANTONIO,-2.551189716045673
PUNO,EL COLLAO,ILAVE,-0.26433304377964567
PUNO,PUNO,ACORA,-1.0206973913944128
CUSCO,ESPINAR,PICHIGUA,0.007305210190159934
CUSCO,ESPINAR,SUYCKUTAMBO,-0.6853163582938058
CUSCO,ESPINAR,ALTO PICHIGUA,-1.1349316914876302
CUSCO,QUISPICANCHI,CCARHUAYO,0.7435324192047119
HUANCAVELICA,HUAYTARA,PILPICHACA,0.5653173368271083
APURIMAC,GRAU,CURPAHUASI,1.0107402801513672
TACNA,TARATA,TARATA,-4.893150329589844
TACNA,TARATA,SUSAPAYA,-5.057249589399858
AREQUIPA,CAYLLOMA,TUTI,-3.0433943612234935
AREQUIPA,CAYLLOMA,YANQUE,-2.40021782952386
AREQUIPA,CONDESUYOS,CAYARANI,-0.9490332096181018
AREQUIPA,CONDESUYOS,SALAMANCA,0.33288676738739015
PUNO,SAN ROMAN,CARACOTO,0.7515048980712891
PUNO,HUANCANE,HUATASANI,0.5306475162506104
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,0.31294530630111694
PUNO,HUANCANE,INCHUPALLA,0.21677255630493164
LIMA,CANTA,HUAROS,1.058503786722819
AREQUIPA,CASTILLA,CHACHAS,-1.2084132869069169
AREQUIPA,CASTILLA,CHOCO,0.7015647888183594
