DISTRITO,PROVINCIA,DEPARTAMENTO,Temp_Min,Temp_Max,Temp_Media,Temp_Desv,Temp_Mediana,Rango
GUZMANGO,CONTUMAZA,CAJAMARCA,9.426321983337402,9.582362174987793,9.504342079162598,0.07802009582519531,9.504342079162598,0.15604019
EL PRADO,SAN MIGUEL,CAJAMARCA,7.9583306312561035,10.88479995727539,9.421565055847168,1.4632346630096629,9.421565055847168,2.9264693
NIEPOS,SAN MIGUEL,CAJAMARCA,7.163991451263428,19.025434494018555,13.499048868815104,4.080145596163386,13.094304084777832,11.861443
SAN GREGORIO,SAN MIGUEL,CAJAMARCA,11.93948745727539,19.07790184020996,17.34844277121804,2.0894511855385547,18.1771183013916,7.1384144
SAN LUIS,SAN PABLO,CAJAMARCA,16.096513748168945,18.22242546081543,17.159469604492188,1.0629558563232422,17.159469604492188,2.1259117
ETEN,CHICLAYO,LAMBAYEQUE,18.699092864990234,18.823806762695312,18.761449813842773,0.06235694885253906,18.761449813842773,0.1247139
LA VICTORIA,CHICLAYO,LAMBAYEQUE,19.249282836914062,19.249282836914062,19.249282836914062,0.0,19.249282836914062,0.0
LAGUNAS,CHICLAYO,LAMBAYEQUE,18.470937728881836,19.00617027282715,18.80550537109375,0.15814012585107096,18.82640266418457,0.53523254
MONSEFU,CHICLAYO,LAMBAYEQUE,18.882436752319336,19.01944923400879,18.950942993164062,0.06850624084472656,18.950942993164062,0.13701248
SANTA ROSA,CHICLAYO,LAMBAYEQUE,,,,,,--
SAÑA,CHICLAYO,LAMBAYEQUE,18.78706169128418,19.494211196899414,19.10470199584961,0.2107150335013454,19.139936447143555,0.7071495
CAYALTI,CHICLAYO,LAMBAYEQUE,18.692882537841797,19.342697143554688,19.02078857421875,0.21960766668010534,19.022775650024414,0.6498146
BARRANCA,BARRANCA,LIMA,17.41987419128418,18.055259704589844,17.71986262003581,0.19655536233817167,17.694263458251953,0.6353855
HUAURA,HUAURA,LIMA,16.545114517211914,18.3488826751709,17.485166549682617,0.41509529196423445,17.490367889404297,1.8037682
ANDAJES,OYON,LIMA,1.9426956176757812,7.038865566253662,4.426533508300781,1.688239510532806,4.245891571044922,5.09617
CAUJUL,OYON,LIMA,1.1472911834716797,1.7352207899093628,1.4612623850504558,0.24168308268972327,1.5012750625610352,0.5879296
COCHAMARCA,OYON,LIMA,2.189811944961548,10.075767517089844,5.8862588670518665,2.641587502378402,6.022923946380615,7.885956
NAVAN,OYON,LIMA,1.3530222177505493,12.988713264465332,6.2569684982299805,3.435678717175808,5.830284118652344,11.635691
PARAMONGA,BARRANCA,LIMA,16.595653533935547,17.9903507232666,17.43771714430589,0.4576471661053296,17.581960678100586,1.3946972
SUPE,BARRANCA,LIMA,15.565442085266113,17.916826248168945,17.422174072265626,0.5333883947424657,17.524057388305664,2.3513842
SUPE PUERTO,BARRANCA,LIMA,17.87665557861328,17.87665557861328,17.87665557861328,0.0,17.87665557861328,0.0
LLAMELLIN,ANTONIO RAYMONDI,ANCASH,6.03926420211792,11.740220069885254,8.695106506347656,2.3436259260910446,8.305834770202637,5.700956
PAMPAROMAS,HUAYLAS,ANCASH,3.2443392276763916,15.337420463562012,7.99859619140625,3.8592417603336195,7.820918560028076,12.093081
ABELARDO PARDO LEZAMETA,BOLOGNESI,ANCASH,8.70540714263916,8.70540714263916,8.70540714263916,0.0,8.70540714263916,0.0
ANTONIO RAYMONDI,BOLOGNESI,ANCASH,10.886418342590332,14.614094734191895,12.953015327453613,1.3469088450199678,13.155774116516113,3.7276764
CAJACAY,BOLOGNESI,ANCASH,1.7763205766677856,8.713700294494629,4.790192794799805,2.3813486744504324,4.414383411407471,6.93738
CANIS,BOLOGNESI,ANCASH,2.9657862186431885,2.9657862186431885,2.9657862186431885,0.0,2.9657862186431885,0.0
COLQUIOC,BOLOGNESI,ANCASH,8.701178550720215,16.351999282836914,14.073089599609375,2.1841673450512338,14.846309661865234,7.6508207
LA PRIMAVERA,BOLOGNESI,ANCASH,8.975358963012695,10.533978462219238,9.754669189453125,0.7793097496034174,9.754669189453125,1.5586195
MANGAS,BOLOGNESI,ANCASH,5.035644054412842,11.328133583068848,8.820178031921387,2.33403630904127,9.458467483520508,6.2924895
PACLLON,BOLOGNESI,ANCASH,2.4892795085906982,8.000847816467285,5.004369463239398,1.7938602146476235,5.323250770568848,5.511568
SAN MIGUEL DE CORPANQUI,BOLOGNESI,ANCASH,3.256523847579956,3.256523847579956,3.256523847579956,0.0,3.256523847579956,0.0
TICLLOS,BOLOGNESI,ANCASH,2.3301432132720947,3.105410575866699,2.7177767753601074,0.38763368129732056,2.7177767753601074,0.77526736
INDEPENDENCIA,HUARAZ,ANCASH,0.23660634458065033,7.507934093475342,4.0201332785866475,2.2820495449682623,3.2648494243621826,7.271328
MIRGAS,ANTONIO RAYMONDI,ANCASH,4.203490734100342,8.557024955749512,5.591858455113003,1.3485058879145289,5.08900260925293,4.353534
NUEVO CHIMBOTE,SANTA,ANCASH,17.361473083496094,18.689565658569336,18.146076202392578,0.34012645422291804,18.151988983154297,1.3280926
CORONGO,CORONGO,ANCASH,4.210134029388428,11.980865478515625,7.007009124755859,2.775307041801006,5.667627811431885,7.7707314
ACO,CORONGO,ANCASH,3.252588987350464,8.563864707946777,5.90822696685791,2.6556378602981594,5.90822696685791,5.3112755
YANAQUIHUA,CONDESUYOS,AREQUIPA,3.8777549266815186,15.927338600158691,11.25933837890625,3.478555015014571,11.64767074584961,12.049583
